PWM_Right,PWM_Left,RPM_Right,RPM_Left,Timestamp
180,180,0.0,0.0,0.041985273361206055
180,180,232.14,296.43,0.7020978927612305
180,180,167.86,185.71,0.7004737854003906
180,180,150.0,125.0,0.7000746726989746
180,180,182.14,203.57,0.7015447616577148
180,180,164.29,153.57,0.6981701850891113
180,180,164.29,167.86,0.7014970779418945
180,180,178.57,171.43,0.7000362873077393
180,180,167.86,164.29,0.6987791061401367
180,180,175.0,171.43,0.700002908706665
180,180,171.43,175.0,0.7015113830566406
180,180,167.86,171.43,0.6993205547332764
180,180,185.71,178.57,0.7001810073852539
180,180,164.29,157.14,0.7001388072967529
180,180,178.57,196.43,0.6990807056427002
180,180,178.57,153.57,0.7008769512176514
180,180,175.0,178.57,0.7002341747283936
180,180,171.43,182.14,0.6999602317810059
180,180,178.57,160.71,0.6996703147888184
180,180,182.14,192.86,0.7003617286682129
180,180,171.43,167.86,0.7002050876617432
180,180,185.71,182.14,0.6997406482696533
180,180,171.43,178.57,0.7000172138214111
180,180,114.29,100.0,0.6991469860076904
180,180,182.14,196.43,0.7005538940429688
180,180,82.14,21.43,0.6988778114318848
180,180,235.71,285.71,0.7023677825927734
180,180,164.29,185.71,0.6996393203735352
180,180,189.29,178.57,0.6981616020202637
180,180,192.86,196.43,0.7013945579528809
180,180,178.57,167.86,0.6977288722991943
180,180,189.29,203.57,0.7020082473754883
180,180,182.14,171.43,0.7005934715270996
180,180,185.71,200.0,0.6987593173980713
180,180,182.14,175.0,0.7007243633270264
180,180,182.14,185.71,0.7003121376037598
180,180,185.71,189.29,0.6994161605834961
180,180,185.71,178.57,0.7000784873962402
180,180,178.57,192.86,0.6990537643432617
180,180,182.14,178.57,0.6990153789520264
180,180,185.71,182.14,0.7016892433166504
180,180,182.14,185.71,0.7006657123565674
180,180,182.14,182.14,0.698890209197998
180,180,182.14,185.71,0.699228048324585
180,180,178.57,167.86,0.7012958526611328
180,180,185.71,192.86,0.7000868320465088
180,180,185.71,171.43,0.7007665634155273
180,180,178.57,192.86,0.6997048854827881
180,180,182.14,171.43,0.698901891708374
180,180,178.57,182.14,0.7012121677398682
180,180,185.71,182.14,0.6998496055603027
180,180,178.57,182.14,0.6986935138702393
180,180,182.14,178.57,0.6991312503814697
180,180,178.57,182.14,0.7003803253173828
180,180,185.71,182.14,0.700115442276001
180,180,178.57,182.14,0.7003235816955566
180,180,178.57,182.14,0.699603796005249
180,180,185.71,175.0,0.7010183334350586
180,180,175.0,178.57,0.6993715763092041
180,180,185.71,189.29,0.7016072273254395
180,180,178.57,164.29,0.6992359161376953
180,180,182.14,200.0,0.7008843421936035
180,180,182.14,167.86,0.6988334655761719
180,180,175.0,182.14,0.700659990310669
180,180,146.43,150.0,0.7007455825805664
180,180,185.71,200.0,0.6989321708679199
180,180,192.86,164.29,0.7001638412475586
180,180,178.57,189.29,0.6998438835144043
180,180,178.57,189.29,0.698620080947876
180,180,185.71,171.43,0.7015383243560791
180,180,175.0,189.29,0.6980161666870117
180,180,185.71,178.57,0.700946569442749
180,180,185.71,182.14,0.700127124786377
180,180,178.57,185.71,0.7000486850738525
180,180,182.14,171.43,0.6999571323394775
180,180,185.71,196.43,0.6996097564697266
180,180,182.14,164.29,0.7003307342529297
180,180,178.57,189.29,0.7006349563598633
180,180,182.14,175.0,0.6993541717529297
180,180,178.57,185.71,0.7006275653839111
180,180,178.57,178.57,0.6992194652557373
180,180,185.71,182.14,0.7032513618469238
180,180,178.57,178.57,0.6979062557220459
180,180,178.57,196.43,0.6990728378295898
180,180,182.14,178.57,0.699923038482666
180,180,178.57,182.14,0.70121169090271
180,180,189.29,175.0,0.6989200115203857
