,0,1,2,3,4,5,6,7,8,9,10
rsensord1_past,0.4620649516582489,0.4621627926826477,0.46224445104599,0.462274968624115,0.46249154210090637,0.46254077553749084,0.4625406265258789,0.4626148045063019,0.46243858337402344,0.46230465173721313,0.46189749240875244
rsensord1_current,0.46189749240875244,0.46230465173721313,0.46243858337402344,0.4626148045063019,0.4625406265258789,,,,,,
rsensord2_past,0.6806787848472595,0.6807935833930969,0.6803317070007324,0.6809841990470886,0.6816226840019226,0.6805736422538757,0.6819962859153748,0.6819385290145874,0.6798748970031738,0.6791266798973083,0.6765767335891724
rsensord2_current,0.6765767335891724,0.6791266798973083,0.6798748970031738,0.6819385290145874,0.6819962859153748,,,,,,
rsensord3_past,0.5547524690628052,0.5545141100883484,0.554999828338623,0.5540728569030762,0.553835928440094,0.5547183752059937,0.5535917282104492,0.5534946322441101,0.5550402402877808,0.5560766458511353,0.5583718419075012
rsensord3_current,0.5583718419075012,0.5560766458511353,0.5550402402877808,0.5534946322441101,0.5535917282104492,,,,,,
rsensord4_past,0.3794066905975342,0.37929970026016235,0.37927699089050293,0.3792010247707367,0.37901440262794495,0.37902987003326416,0.3789525032043457,0.37893062829971313,0.3791370689868927,0.37933892011642456,0.3796132802963257
rsensord4_current,0.3796132802963257,0.37933892011642456,0.3791370689868927,0.37893062829971313,0.3789525032043457,,,,,,
rsensord5_past,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
rsensord5_current,0.9,0.9,0.9,0.9,0.9,,,,,,
rsensord6_past,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
rsensord6_current,0.9,0.9,0.9,0.9,0.9,,,,,,
Vd,0.0018344189811614342,0.0018344189811614342,0.0018706192150830248,0.0017367910487564586,0.001860488012539463,0.0016710988148815886,0.001860488012539463,0.0017400785168319999,0.0018622205999463404,0.0017400785168319999,0.0015217315763038641
Vi,0.0016373815014958382,0.0016373815014958382,0.0016373815014958382,0.0016976957795122871,0.0016976957795122871,0.001754374636675493,0.0018086024766716946,0.0018086024766716946,0.0016343944508889763,0.0016343944508889763,0.0013338871696078058
